val_loss,epoch,step,train_loss_epoch,train_loss_step
1.365557312965393,0,28,,
,0,28,1.080997347831726,
,1,49,,0.9795589447021484
1.4225043058395386,1,57,,
,1,57,1.0332614183425903,
1.3975818157196045,2,86,,
,2,86,1.0284991264343262,
,3,99,,1.0854442119598389
1.4107334613800049,3,115,,
,3,115,1.0263644456863403,
1.4082520008087158,4,144,,
,4,144,1.031599998474121,
,5,149,,1.1120907068252563
1.4082791805267334,5,173,,
,5,173,1.0251814126968384,
,6,199,,0.996573805809021
1.405932068824768,6,202,,
,6,202,1.026537299156189,
1.4460989236831665,7,231,,
,7,231,1.0234192609786987,
,8,249,,1.0085499286651611
1.4645755290985107,8,260,,
,8,260,1.0256409645080566,
1.4128375053405762,9,289,,
,9,289,1.0241432189941406,
,10,299,,1.0613808631896973
1.4123542308807373,10,318,,
,10,318,1.0245325565338135,
